rus	eng
Он также рассказал, что после причастия имел возможность обменяться несколькими словами с патриархом Алексием на немецком языке.	He also indicated that after communion he had been able to exchange a few words, in German, with Patriarch Alexis II.
3. Проект Фонда Св.-Сергиевского института.	3. Plans for the St Sergius Foundation.
Совет Архиепископии ознакомился с новыми замечаниями французских властей относительно создания Фонда Св.-Сергиевского института и теми изменениями, которые вследствие этого предстоит внести в текст подготавливаемого проекта Устава Фонда.	The Council of the Archdiocese considered the latest comments made by representatives of the French civil authorities concerning the plans for the Foundation and modifications that must be made as a result in the statutes that are being drafted.
4. Финансовые вопросы.	4. Finance.
Совет Архиепископии ознакомился с финансовым отчетом работы Архиепископии за 2007 год и первую половину 2008 года. Выяснилось, что некоторые приходы опаздывают с выплатой ежегодного взноса в фонд Архиепископии. Им будет направлено письменное напоминание.	The Council of the Archdiocese studied the accounts of the Archdiocese for 2007, and for the first six months of 2008.
Корсунская епархия (Московская патриархия) обратилась в Кассационный суд с заявлением об отмене решения Аппеляционного суда г. По, который подтвердил решения, принятые ранее судом первой инстанции г. Байоны по вопросу православного прихода в Биаррице (см. Сообщение № 04-08).	5. Biarritz. Unfortunately litigation continues: at the beginning of July, the Diocese of Korsun (Patriarchate of Moscow) lodged an appeal against the judgement of the Court of Appeal in Pau, which had comfirmed the decisions taken, in the first instance, by the Court of Bayonne concerning the Parish in Biarritz (see Communiqué 04-08)
6. Рукоположения.	6. Ordinations
Дьякон Xристофор Шуфф (Christoforos Schuff) был рукоположен в священники архиепископом Гавриилом 6 июля во время Божественной литургии в Св.-Никольской церкви в Осло (Норвегия)	Deacon Christoforos Schuff was ordained priest by Archbishop Gabriel on Sunday, 6 July, during the Divine Liturgy celebrated at the church of St Nicholas in Oslo. He will be assigned to the Parish of St Nicholas, Oslo (Norway).
Иподьякон Олав Лерсет (Olav Lerseth) был рукоположен архиепископом Гавриилом в дьяконы в воскресенье 6 июля во время Божественной литургии в Св.-Никольской церкви в Осло (Норвегия) и во священники во вторник 8 июля во время Божественной литургии в церкви в Селье (Норвегия).	Subdeacon Olav Lerseth] was ordained deacon by Archbishop Gabriel on Sunday, 6 July, during the Divine Liturgy celebrated at the church of St Nicholas in Oslo, and priest on Tuesday 8 July, during the Divine Liturgy celebrated in the church at Selje (Norway).
Он будет служить в Св.-Николаевском приходе в Осло (Норвегия).	He will be assigned to the Parish of St Nicholas, Oslo (Norway).
Иподьякон Урбан Видетун (Urban Widetun) был рукоположен архиепископом Гавриилом в дьяконы во вторник 8 июля во время Божественной литургии в церкви в Селье (Норвегия).	Subdeacon Urban Widetun was ordained deacon by Archbishop Gabriel on Tuesday, 8 July, during the Divine Liturgy celebrated in the church at Selje (Norway).
Он будет служить в Преображенском приходе в Оверкаликсе (Швеция).	He will be assigned to the Parish of the Transfiguration at Overkalix (Sweden).
Дьякон Николай Кисселхов (Nicolas Kisselhoff) был рукоположен архиепископом Гавриилом в священники в пятницу 1 августа во время Божественной Литургии в храме Св.Серафима Саровского в Париже. Он будет служить в новообразованном приходе в Компьене (департамент Уаза, Франция), Compiègne (Oise).	Deacon Nicolas Kisselgoff was ordained priest by Archbishop Gabriel on Friday, 1 August, during the Divine Liturgy celebrated in the church of St Seraphim of Sarov, in Paris. He will serve the community in formation at Compiègne (Oise).
Он будет служит в этом же приходе.	He will be assigned to that same parish.
Дьякон Даниил Кабаньольc (Daniel Cabagnols) был рукоположен в священники архиепископом Гавриилом в воскресенье 14 сентября во время Божественной Литургии в Св.-Александро-Невском каф. соборе в Париже. Он будет служить в приходе Введения Пресвятой Богородицы в Париже и при необходимости - в Успенской церкви в Сент-Женевьев-де-Буа.	Deacon Daniel Cabagnols was ordained priest by Archbishop Gabriel on Sunday, 14 September during the Divine Liturgy celebrated in the St Alexander Nevsky Cathedral in Paris.
7. Катехизис для новых мигрантов из России и стран восточной Европы. Цикл «Бесед о вере», организованный парижской епархией, возобновится в октябре.	He will celebrate at the Parish of the Entry of the Mother of God into the Temple, in Paris, and at the Church of the Dormition, at Ste-Geneviève-des-Bois, as needed. 7. Catechesis for new immigrants from Russia and Eastern Europe.
(Подробная информация о днях, расписании и условиях записи - в информационных афишах).	The team of teachers, for whom Archpriest Wladimir Yagello is responsible, will be organised this year into two separate groups, one of which will meet on the premises of the Parish of Our Lady of the Sign, and the other at the St Sergius Theological Institute (see the information leaflet for information on dates, times and how to enrol).
8. Епархиальная конференция.	8. Diocesan Conference.
Утром 13 декабря в Св.-Сергиевском храме будет отслужена литургия за усопших (Подробная программа и условия записи - в информационной афише).	This colloquium will take place at the St Sergius Institute from 11 to 13 December 2008. On the morning of Saturday 13 December a Liturgy for the Departed will be celebrated in the Church of St Sergius (see information leaflet for the detailed programme and how to enrol).
Дорогие отцы, братья и сестры,	Dear Fathers Dear Brothers and Sisters,
Христос Воскресе !	Christ is Risen!
« Ибо так возлюбил Бог мир, что отдал Сына Своего Единородного, дабы всякий верующий в Него, не погиб, но имел жизнь вечную » (Ин III,16)	For God so loved the world that He gave His only begotten Son, that whoever believes in Him should not perish but have everlasting life. (John 3:16)
Эти слова, сказанные апостолам Христом, как передает апостол Иоанн, я выделил, потому что они содержат два ключевых слова, относящихся к Воскресению Господню. Это - слова «любовь» и «жизнь».	If I have chosen to pick out the words that Christ left to His apostles a few hours before His Passion, passed on to us by Saint John, this is because they contain two key words that relate to the Lord’s Resurrection: love and life.
В этот день мы радуемся в семейном кругу, в приходских общинах и монастырях из-за великой любви, которую Иисус проявил к каждому из нас, и из-за жизни, доступ к которой нам был дарован.	In fact, if we are rejoicing on this day in our families, our parish communities and monasteries, it is because of the great love that Jesus had for every one of us and because it opens to us the Life that He offers us.
Мы все нуждаемся в любви и призваны к жизни! Это - универсальная, общечеловеческая действительность: без любви, жизнь лишается смысла.	We all need love, and we are called to life. It is a universal reality, shared by all men on earth: life without love is meaningless.
Как христиане мы должны быть свидетелями любви. Конечно, мы можем на эту тему говорить, но более того мы должны этим жить: эту будет самым убедительным способом выражения.	We who are Christians must testify to love. We can, of course, talk about it, but, much more, we must live it - the most convincing way of expressing this.
Так поступил Господь: он возлюбил нас до того, что отдал за нас жизнь.	It is what the Lord did: He loved us to the point of giving His life for us.
Его смерть и воскресение - две части одной печати, наложенной им на наши сердца раз и навеки.	His death and Resurrection are the two sides of the one seal that He set on our hearts once and for all.
Да, Пасха великий и прекрасный праздник, так как она знаменует «переход»: таков смысл еврейского слова «пессах».	Yes, Easter is a great and lovely feast, recording as it does a ‘passing’, a crossing; this is the meaning of the word Pessah in Hebrew.
Это праздник, переживаемый нами радостно, так как Христос проходит победно через смерть, и этот «переход» Его остается навечно.	It is a joyous feast that we are celebrating, for Christ passed victoriously through death, and this ‘passing’ is definitive.
Но обратим внимание на то, что, хоть Воскресение Иисуса - событие, вписанное в историю, оно не статично и не ограничено во времени.	But let us turn our attention to the fact that, if Christ’s Resurrection is an event recorded in history, it is not static or frozen in time.
С того дня Господь продолжает «проходить» через наши жизни, даруя нам любовь как здесь на земле, так и в Жизни вечной.	From that day onwards, the Lord continues to ‘pass through’ our lives, offering His love to us here on earth and for all eternity.
В каждом событии повседневной жизни Господь протягивает нам руку, говоря нам: «Если ты желаешь, я дарю тебе Мою любовь!». Но посмотрим, что это означает конкретно.	It is at every moment of our daily lives that the Lord holds out His hand to us, saying: ‘I’m offering you My love if you want it!’ Let us look at what this means in reality.
Когда мы обращаем взоры на нашу жизнь, на жизнь всех людей на земле, мы склоняемся к печали и могли бы воскликнуть с Экклесиастом: «все - суета и томление духа!» (Эк. II, 17).	When we look at our lives, the lives of all men on earth, we are tempted to sadness, and we could say like the writer of Ecclesiastes: All is vanity and vexation of spirit (Eccl. 2:17).
Перед лицом этих ужасов и страхов мы должны помнить, что перед Пасхой была Страстная Пятница. Мы должны мысленно вернуться в Гефсиманский сад: «Душа Моя скорбит смертельно», и к распятию: «Боже Мой, Боже Мой! для чего Ты Меня оставил?».	We must return in our thoughts to Gethsemane: My soul is troubled even unto death, and to the Crucifixion: My God, why hast Thou forsaken me?
Тогда мы поймем, что Воскресение не просто милый семейный праздник, о котором мы забываем на следующий же день, но вторгающийся в нашу повседневность гимн жизни и любви! Христос принял страдания, уничижение (кенозис), отвержение, ужас одиночества, оставление апостолами и в конце всего этого смерть на кресте для того, чтобы благодаря последовавшей тайне Воскресения отселе мы более не испытывали страха!	We will then understand that the Resurrection is not just a simple, delightful family feast, but is a real surging forth, a hymn to life and love! If Christ accepted suffering, humiliation (kenosis), exclusion, rejection, terrible solitude, abandoning by His apostles and, in the end, death on the Cross, it is so that, through the mystery of the Resurrection that followed, we may have no more fear.
Спустя некоторое время, Господь приглашает Фому вложить руку в рану, открытую копьем во время распятия.	Later, Thomas was to be invited by the Lord to place his hand in the wound caused by the lance at the Crucifixion.
Этот жест повторяем все мы: вложив руку в ребра Христа, апостол получает дар бесконечной Божественной любви и доступа к Жизни. Тогда сомнения, вызываемые многими страхами и мытарствами, превращаются в великую надежду и проявление веры: «Господь мой и Бог мой!» (Ин XX,28).	This gesture was for every one of us: in touching Christ’s side, the Apostle received, as a gift, God’s infinite love and an open path to life.
Воскресение Спасителя открывает нам истинную цель крестных мук: высшую любовь Господа Иисуса ко всем нам, ко всем людям на земле!	(Jn 20:29). The Lord’s Resurrection, therefore, reveals to us the real purpose of the mystery of the Cross: the supreme love of the Lord Jesus for us, for all men on earth.
Дорогие отцы, братья и сестры!	Dear fathers, brothers and sisters,
В сей великий и светлый праздник обнимаю всех вас с великой любовью и радостью.	On this great and resplendent feast, I embrace you all with great love and great joy!
Мы отселе воскрешены вместе со Христом, мы видели истиный свет и в наших венах течет уже Божественная жизнь!	We are now risen with Christ; we have seen the true light, and it is the divine Life that henceforth flows in our veins!
Воистину воскресе!	He is risen indeed!
Париж, 2/15 апреля 2012	Paris, April 2nd/15th 2012
Собор Святого Александра Невского	Cathedral of Saint Alexander Nevsky, Paris
Плоть и дух должны быть оживлены, дабы исполниться света. И аскетика - это мотивация наполнить наше существование этим божественным светом.	The flesh and the spirit must be quickened in order to be filled with light.
Человеческое усилие будет поддержано божественной благодатью, и Бог подаст свои энергии тому человеку, кто будет способен, и кто будет желать их получить.	The aim of asceticism is to motivate our existence so that it is, bit by bit, filled with this light. By grace human effort will be brought to bear and God himself will convey his energies to the man who is receptive and willing.
Время поста заставляет нас обратить внимание на телесный аспект аскетики.	The Lenten season makes us aware of the physical aspect of asceticism.
Истинное познание Бога, воспетое в образе брака в библейской Песни Песней, охватывает и душу и тело. И аскетизм становится брачной встречей смиренного единения Жениха и невесты.	The true knowledge of God, in the image of the wedding of the Song of Songs, brings body and soul into play. Asceticism is the bridal realisation in the humility of this meeting of the Bridegroom and bride.
Пост есть ожидание Жениха. Кто постится, тот принимает на себя смирение Христово, дабы впоследствии сознательно, в духе пасхальной радости, принять и встретить Воскресшего Христа, Которого он уже сейчас созерцает на каждой евхаристии.	He who fasts enters into Christ’s humility in order to put on the risen Christ, that he will meet in the Easter joy, and Whom he sees in each Eucharistic encounter.
Пост, говорит нам преподобный Андрей Критский, это «светлейший пир», ибо на нём человек насыщается прежде всего «всяким словом, исходящим их уст Божиих».	"As Saint Andrew of Crete says, Lent is a ""bright feast"" because above all man is nourished ""by every word that proceeds from the mouth of God""."
Настоящий пост определённо улучшит наши отношения с Богом, с нашим ближними и окружающим нас миром.	True fasting will change the relationship we have with God, our neighbour, the world and even ourselves.
То есть, пост восстанавливает наши истинные отношения с внешним миром и возвращает нам истинное равновесие нашего существования.	This means that the fast tends to restore our relationships with the outside world and give us a true balance of life.
Мы также, как говорят святые отцы, должны проводить и интеллектуальный пост, дабы не войти в пустые размышления, которые кроме гордости ничего нам не принесут.	We also have to extend the fast to the passions that inhabit us, and the sin that haunts us, also to a sense of power by finding a sense of service again and to a feeling of glory by exercising humility.
День ото дня, мы должны читать эту молитву от всего нашего сердца, и сопровождать её телесным упражнением в земных поклонах.	All this is summarised in the Prayer of Saint Ephrem which is for us the surest guide in this time of Lent. Every day we have to impose it on our hearts and engrave it on our bodies through the accompanying prostrations.
Усердно читая эту молитву, имея реальное сострадание к бедным, часто ходя на продолжительные богослужения, мы обязательно встретим «Жениха, грядущаго в полунощи», как о том говорит тропарь Великого Понедельника. И тогда, как мудрые девы, мы войдём в брачный чертог и примем участие в брачном пире Агнца, созерцая Его Воскресение.	"This prayer, alms to the poor, careful attention to the services: all this, if we live it intensely, will allow us to host ""the Bridegroom who comes in the middle of the night"" as the troparion of Great Monday reminds us. Then, in the image of the wise virgins, we will enter the bridal chamber and we will participate in the bright feast of the wedding of the Lamb, while contemplating His Resurrection."
Братья и сестры! Всем желаю доброго и настоящего Великого Поста. Смиренно прошу прощения, за поступки, которые могли вас обидеть и прошу каждого из вас ваших пламенных молитв.	Brothers and sisters, I wish you all a good and true Great Lent, I humbly ask all of you forgiveness for anything that might have offended you in my behaviour and ask of each of you your fervent prayer.
Париж, 25 февраля 2017 г.	Paris, 26 February 2017
Собрание 9 июня 2006	meeting on 9 June 2006
9 июня 2006 года Совет Архиепископии провел чрезвычайное расширенное заседание под председательством Его Высокопреосвященства архиепископа Гавриила для того, чтобы ознакомиться с решением Святейшего Синода Вселенского патриархата от 8 июня 2006 г. относительно зачисленния Его Преосвященства епископа Василия Амфипольского в юрисдикцию Экзархата и обсудить детали его применения.	The Council of the Archdiocese met in an extraordinary and enlarged session on 9 June 2006, under the presidency of his Eminence, Archbishop Gabriel, in order to take cognizance of the decisions of the Holy Synod of the Ecumenical Patriarchate of 8 June 2006 concerning the integration of His Grace Bishop Basil of Amphipolis into the Exarchate, and to examine how to apply the decisions.
По окончании собрания Совет Архиепископии принял следующее заявление.	After the meeting, the Council issued the following declaration:
Заявление Совета Архиепископии	Declaration of the Council of the Archdiocese
Совет Архиепископии на своем чрезвычайном собрании 9 июня 2006 г. под председательством Высокопреосвященного архиепископа Гавриила ознакомился с этим решением и с теми рассуждениями, что побудили Вселенского Патриарха обратиться к своему Экзархатy приходов русской традиции в Западной Европе, чтобы включить в его состав Преосвященного епископа Василия и желающих последовать за ним церковных общин. Высокопреосвященный архиепископ Гавриил объявил, что проявляя пастырскую заботу и желая обеспечить им нормальную литургическую и духовную жизнь, он принимает в лоно Экзархата Преосвященного епископа Василия и те приходы Великобританских островов, которые выразят подобное желание.	The Council of the Archdiocese, meeting in an extraordinary session on 9 June 2006, under the presidency of his Eminence Archbishop Gabriel, learned of these decisions and the considerations which led the Ecumenical Patriarch to turn to his Exarchate of Parishes of Russian Tradition in Western Europe in order to integrate His Grace Bishop Basil and the communities which desire to follow him.
Совет Архиепископии считает, что прием этих приходов является важным этапом как для жизни самого Экзархата, так и в целом - для развития Православия в Западной Европе. Прежде всего это решение позволяет восстановить историческую преемственность, поскольку вплоть до окончания Второй Мировой войны русский Успенский приход в Лондоне находился в юрисдикции митрополита Евлогия.	His Eminence Archbishop Gabriel announced that for reasons of pastoral solicitude and in order to permit them a normal liturgical and spiritual life, he was receiving Bishop Basil and the communities of the British Isles which ask to be received, into the Exarchate. The Council of the Archdiocese considers that the integration of these parishes constitutes an important stage both in the life of the Exarchate, and in the evolution of Orthodoxy as a whole in Western Europe. This decision is firstly a continuity with history, since until the end of the Second World War, the Russian parish of the Dormition in London was under the pastoral authority of Metropolitan Eulogii.
С другой стороны, Совет принял во внимание, что многие приходы, основанные впоследствии блаженной памяти митрополитом Антонием в духе живого свидетельства Христовой Истины и при использовании в богослужениях как русского, так и местного языка, разделяют с нашей Архиепископией и общее видение экклезиологии, и общую задачу укоренения Православия в странах нашего проживания, и тe же представления о духовной и литургической жизни в cогласии с русской православной традицией, и ту же верность принципам Московского Собора 1917-1918 гг., и тот же опыт канонической, административной и управленческой практики (как на уровне епархии, так и на уровне приходов, и в взаимоотношениях между приходами и епархией).	Secondly, the Council takes note of the fact that many communities founded afterwards by Metropolitan Anthony, of blessed memory, in a spirit of living witness to the Truth of Christ and using both Russian and the local languages, share with our Archdiocese the same ecclesiological vision, the same objective of rooting Orthodoxy in the countries where we are living, the same liturgical and pastoral life according to the Russian Orthodox tradition, the same attachment to the principles of the Council of Moscow of 1917-18, and the same practice in canonical and administrative matters, and ways of running the Church (both at diocesan and parish level and in parish-diocese relations).
Поэтому совершенно понятно, что Преосвященный епископ Василий и эти общины естественным образом призваны войти в лоно Экзархатa, чтобы иметь возможность продолжить свою литургическую и духовную жизнь в мире, благочестии и чистоте веры.	It is therefore clear that His Grace Bishop Basil and these communities naturally find their place in the Exarchate, in order to continue to lead their liturgical and spiritual life in peace, piety and the integrity of faith.
В этих условиях и в соответствии с патриаршим и синодальным решением приходы и общины Великобританских островов будут устроены в лоне Экзархата в особoe викариатство, yправление которым поручается Преосвященному епископу Амфипольскому Василию в качестве викария с широкими полномочиями в соответствии с постановлениями Московского Собора 1917-1918 гг. Эти постановления дают возможность открывать в границах уже существующей епархии викариатствa на правах полусамостоятельности (см. Постановления от 26 июля/8 августа 1918, «О учреждении новых епархий и викариатств », ст. 6, и от 2/15 апреля 1918, «О викарных епископах», ст.ст. 1 и 2).	In these circumstances, and in accordance with the Patriarchal and Synodal decision, the parishes and communities of the British Isles will be organised in a special vicariate within the Exarchate, responsibility for which belongs to His Grace Bishop Basil of Amphipolis, as auxiliary bishop with extended prerogatives, following the decrees of the Council of Moscow of 1917-18, which give the possibility of creating vicariates having a ’semi-independent’ status (polu-samostoiatel’nost’) within an already existing diocese (cf. Decrees of 26 July/ 8th August 1918, ‘On the Creation of New Dioceses and Vicariates’, art. 6, and of 2/15 April 1918, ‘On Vicar Bishops’, art. 1 and 2).
Подробные правила управления викариатством на Великобританских островах будут уточнены в уставе, который должен выработать Совет Архиепископии. Свод принятых решений будет представлен на усмотрение будущего Всеобщего Собрания Архиепископии, которое должно состояться в мае 2007 г. С сегодняшнего дня Преосвященный епископ Василий является полноправным членом Совета Архиепископии.	The modalities according to which the vicariate for the British Isles will function will be laid out in a separate document, which will be drawn up by the Council of the Archdiocese. All these decisions will be presented to the next General Assembly of the Archdiocese, to be held in May 2007.
Само собой разумеется, что эта новая форма устройствa нашего церковного удела есть лишь этап, безусловно очень важный, но врeмeнный, на пути, который должен привести нас к созиданию Eдиной местной Церкви, собирающей всех православных верующих, проживающих в странах Западной Европы.	From today, His Grace, Bishop Basil has full right to participate in the meetings of the Council of the Archdiocese. It goes without saying that this new form of organisation within our ecclesial reality is only a provisional stage - albeit an important one - on the road which must lead towards the creation of a unified Local Church, regrouping all the Orthodox faithful living in the countries of Western Europe.
Предложение об обустройствe такой Церкви, сформулированное на Всеобщем Епархиальном Собрании Экзархата в 1949 г. под председательством митрополита Владимира, остается и сегодня основной задачей Экзархата. Исполнить ее можно будет только в рамках всеправославного соборного действия, начатого под руководством Cвятейшего Вселенского патриарха, силами всех Поместных православных Церквей и с участием всех православных церковных образований, находящихся на наших территориях, ибо « все призваны к Трапезе Господней ».	The proposal to establish such a Local Church, formulated by the Clergy-laity Assembly of the Exarchate in 1949, under the presidency of Metropolitan Vladimir, of blessed memory, remains a fundamental objective for the Exarchate, one which it will not be possible to bring to fruition except in the context of a Pan-Orthodox conciliar process, engaged in under the responsibility of His All-Holiness, the Ecumenical Patriarch by all the Orthodox Churches of the region, and with the participation of all the Orthodox ecclesial communities present in our lands, for ‘all are called to share at the Table of the Lord’.
На самом деле, по существу Архиепископия уже сама по себе является местной Церковью, как является таковой любая епархия в любом месте, где полнота Церкви проявляется в совершении Святой Евхаристии, приносимой епископом в сослужении священников и всего народа Божьего. Вместе с епархиями других Патриархатов, с которыми она состоит в общении, Архиепископия составляет начатки местной Церкви в странах Западной Европы, где волей Господней мы были призваны проживать.	Fundamentally, the Archdiocese is itself already a Local Church, as is every diocese in each place, where the fullness of the Church manifests itself in the celebration of the Holy Eucharist, offered by the bishop, surrounded by the college of presbyters and all the People of God. With all the dioceses of the other patriarchates, with which it is already in communion, it constitutes the first fruits of a Local Church on the territory of Western Europe, where the Lord has called us to live.
С теми, кто того пожелает, она намерена идти вперед к этой, соответствующей православной экклезиологии, цели, чтобы « hic et nunc » (« здесь и сейчас ») содействовать созиданию Христовой Церкви, невзирая на языковые различия, на гражданство и национальность Ee членов, и не отказываясь при этом от опыта и порядка богатой и ценной церковной традиции, унаследованной нами от наших oтцов по вере.	It is in this perspective, which is in conformity with Orthodox ecclesiology, that the Archdiocese intends to move forward with all those who wish to contribute ‘here and now’ to the construction of the Church of Christ, beyond differences of language, nationality and ethnic origin, yet without abandoning the practices and usages of the rich and precious ecclesial Tradition received from our Fathers in the Faith.
В соответствии с их учением нам следует искать в смиренной молитве и в приобщении к святым и животворящим божественным тайнaм Благодати и Cвета Господа Иисуса Христа, чтобы сподобиться жизни в полноте « союза любви », связающего учеников Христoвых.	In accordance with their teaching, we must seek, through humble prayer and participation in the holy and life-giving divine Mysteries, the grace and light of the Lord Jesus, so as to be judged worthy to live in the fullness of ‘the bond of love’ which unites his disciples.
Париж, 9 июня 2006	Paris, 9 June 2006
Cвятейшй и Священный Cинод Вселенского Патриархата в ходе заседания 8 июня 2006 г. под председательством Cвятейшего Вселенского патриарха Варфоломея изучил прошение Преосвященного Василия, епископа Сергиевского, к Вселенскому Патриарху и, с учетом 9, 17 и 28 правил 4-oго Вселенского Cобора, единогласно постановил принять под юрисдикцию Вселенского Патриархата вышеназванного епископа и назначить его в Патриарший Экзархат православных приходов русской традиции в Западной Европе.	The Holy and Sacred Synod of the Ecumenical Patriarchate during its meeting on June 8, 2006 under the presidency of His All Holiness Ecumenical Patriarch Bartholomew, examined the appeal of His Grace Basil, Bishop of Sergievo, to the Ecumenical Patriarch and, taking under consideration canons 9, 17 and 28 of the 4th Ecumenical Council unanimously decided to accept under the jurisdiction of the Ecumenical Patriarchate the above named Bishop, placing him in the Patriarchal Exarchate for Orthodox Parishes of Russian Tradition in Western Europe.
Затем Cвятейшй и Священный Синод постановил, по просьбе архиепископа Команского Гавриила, главы вышеназванного Экзархата, избрать епископа Василия - с титулом «Амфипольский» - его викарным епископом, дабы он пастырски окормлял тех православных, живущих в Великобритании, которые пожелают находиться под юрисдикцией Экзархата.	Thereafter, the Holy and Sacred Synod proceeded, at the request of Archbishop Gabriel of Komana, head of the above mentioned Exarchate, to elect Bishop Basil with the title of Bishop of Amphipolis, as his auxiliary Bishop, to serve the pastoral needs of Orthodox living in Great Britain who desire to place themselves under the jurisdiction of the Exarchate.
Из Патриархии, 8 июня 2008 г.	At the Patriarchate, June 8, 2006
Главный Секретариат	From the Chief Secretariat
Архиепископ Гавриил подчеркивает, что, во первых, он не намерен отвечать на искажения сказанного им, и тем самым входить в тщетную полемику, в то время как отношения с руководством Московской Патриархии в последнее время как будто налаживались.	The Council is anxious to remind every one that the arangements laid down by the Council of Moscow in 1917-1918 were those that were followed when Archbishop Gabriel was elected, by a majority of more than two thirds of those present, at a Diocesan Assembly of clergy and laity, consisting of delegates from all the parishes and communities of the Archdiocese, and the election was then confirmed, in accordance with the statutes of the Exarchate, by the Holy Synod of the Ecumenical Patriarchate.
1 декабря 2011 состоялось заседание Совета Архиепископии под председательством Высокопреосвященного архиепископа Гавриила. Рассматривались среди прочих следующие вопросы:	The Council of the Archdiocese met on December 1st 2011 under the chairmanship of Archbishop Gabriel. Among the matters discussed were:
1. Паломничество в Святую Землю	1. Pilgrimage to the Holy Land
В воскресенье 20 ноября по приглашению архиепископа Гавриила Высокопреосвященный митрополит Иларион, первоиерарх Русской православной церкви за границей, посетил кафедральный собор св. Александра Невского в Париже в сопровождении Преосвященного епископа Михаила Женевского, двух священников, нескольких диаконов и мирян.	Metropolitan Hilarion, the senior bishop of ROCOR, accompanied by Bishop Michael of Geneva, two priests and a number of deacons and laypeople, visited the Cathedral of St Alexander Nevsky in Paris on Sunday November 20th 2011, at the invitation of Archbishop Gabriel.
Совет выразил удовлетворение по поводу совместного литургического служения, свидетельствующего о единстве православия, и теплой братской атмосферы, в которой прошла встреча.	The Council was delighted with this concelebration, which contributes to the witness to Orthodox unity, along with the convivial, fraternal atmosphere that prevailed in this encounter.
3. Пастырское собрание	3. Pastoral Assembly
11 ноября в здании Богословского института преподобного Сергия в Париже состоялось ежегодное пастырское собрание с участием клириков Архиепископии.	The annual pastoral meeting, held on November 11th of this year at the St Sergius Institute in Paris, brought together the clergy of the Archdiocese.
Собрание позволило рассмотреть ряд вопросов пастырской практики, касающихся в том числе крещения и венчания, что вызвало удовлетворение участников встречи (около 50 человек).	It allowed the discussion of a number of questions of pastoral practice, especially concerning baptism and marriage, which was greatly appreciated by the fifty-or-so participants.
